success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,bonus,nickname,rt,url,set_size,change,addition,RT,response,jitter,correct_response,test_part,correct,stimulus,key_press,responses
1.0,fullscreen,0,6620,0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,,,
,external-html,1,22515,0.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,15873.045000014827,nickname.html,,,,,,,,,,,,
,p5Text,2,28021,0.0-2.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,,,
,p5Text,3,44857,0.0-3.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,,,
,p5cd_ad,4,49996,0.0-3.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,3.0,1.0,1.0,3233.8552710716613,f,391.32472896017134,j,practice,0.0,,,
,html-keyboard-response,5,51501,0.0-3.0-1.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
,p5cd_ad,6,55680,0.0-3.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,3.0,0.0,1.0,2550.589607330039,f,112.87539266049862,f,practice,1.0,,,
,html-keyboard-response,7,56682,0.0-3.0-1.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5cd_ad,8,60430,0.0-3.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,3.0,0.0,0.0,2195.6953963963315,f,35.23960360325873,f,practice,1.0,,,
,html-keyboard-response,9,61432,0.0-3.0-1.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5cd_ad,10,64780,0.0-3.0-1.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,3.0,1.0,0.0,1507.1015144349076,j,331.5034855622798,j,practice,1.0,,,
,html-keyboard-response,11,65783,0.0-3.0-1.0-1.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5Text,12,72718,0.0-4.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,,,
,p5Text,13,81717,0.0-5.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,,,
,p5Text,14,86101,0.0-6.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,,,,,,,,,,,,
,p5cd_ad,15,88913,0.0-6.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,9.0,1.0,1.0,1291.6344765108079,f,10.445523541420698,j,test,0.0,,,
,p5cd_ad,16,92597,0.0-6.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,1.0,0.0,1.0,1873.5673304181546,f,296.0026696091518,f,test,1.0,,,
,p5cd_ad,17,95314,0.0-6.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,9.0,0.0,1.0,785.8687080442905,f,419.7462919401005,f,test,1.0,,,
,p5cd_ad,18,98930,0.0-6.0-1.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,5.0,0.0,0.0,1881.8746449542232,f,229.30035507306457,f,test,1.0,,,
,p5cd_ad,19,102880,0.0-6.0-1.0-0.4,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,9.0,0.0,0.0,1963.2015234674327,j,471.81347652804106,f,test,0.0,,,
,p5cd_ad,20,106130,0.0-6.0-1.0-0.5,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,3.0,1.0,1.0,1488.4376285481267,j,248.31237143371254,j,test,1.0,,,
,p5cd_ad,21,109547,0.0-6.0-1.0-0.6,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5dac7eaa59f37100128372d5,"[101, 89, 8, 93, 102, 9, 98, 144, 66, 25, 26, 247, 101, 15, 154, 42, 5, 222, 30, 173, 72, 145, 45, 73, 105, 4, 173, 48, 219, 68, 13, 113]",5f183ba2066b9c11e73f0302,5dac7eaa59f37100128372d5,5f1958b2a1a99a00081b0184,0.25,lentil,,,3.0,1.0,0.0,1885.2011704584584,j,23.51382956840098,j,test,1.0,,,
