success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,bonus,nickname,rt,url,set_size,change,addition,RT,response,jitter,correct_response,test_part,correct,stimulus,key_press,responses
1.0,fullscreen,0,5693,0.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,,,,,,,,,,,,
,external-html,1,44466,0.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,38749.215000000026,nickname.html,,,,,,,,,,,,
,p5Text,2,46070,0.0-2.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,,,,,,,,,,,,
,p5Text,3,61812,0.0-3.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,,,,,,,,,,,,
,p5cd_probe,4,66993,0.0-3.0-1.0-0.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,4.0,0.0,1.0,3498.9338506753193,f,162.37614932470024,f,practice,1.0,,,
,html-keyboard-response,5,67996,0.0-3.0-1.0-1.0,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,,,,,,,,,,"<div style=""width:150px;height:56px;font-size:30px;text-align:center;"">correct!</div>",,
,p5cd_probe,6,70837,0.0-3.0-1.0-0.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,4.0,1.0,0.0,1161.7283831242821,f,162.45661687571555,j,practice,0.0,,,
,html-keyboard-response,7,72339,0.0-3.0-1.0-1.1,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
,p5cd_probe,8,75813,0.0-3.0-1.0-0.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,4.0,1.0,1.0,1821.4888178883994,f,136.18118211161345,j,practice,0.0,,,
,html-keyboard-response,9,77315,0.0-3.0-1.0-1.2,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c575b1b53fba80001bd3288,"[127, 143, 49, 161, 248, 108, 17, 169, 57, 159, 214, 123, 197, 69, 116, 196, 48, 122, 236, 152, 115, 220, 104, 14, 25, 74, 110, 46, 45, 178, 117, 134]",5f180469d29f570181bfb241,5c575b1b53fba80001bd3288,5f1824ff1542050621660c1f,0.19,marieleanne,,,,,,,,,,,,"<div style=""width:150px;height:56px;border:0px;font-size:30px;text-align:center"">wrong.</div>",,
