session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5ff722f7a8025234db61a0b8,5e7e5c94d7dd745288a042ff,APPROVED,2021-01-07 15:04:23.714000,2021-01-07 15:26:53.603000,1349.889,39,299,1,100,2021-01-07 15:41:56.407000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff722f856faf432ed6f68ee,5fd969e534d52345f596744a,APPROVED,2021-01-07 15:04:24.516000,2021-01-07 15:16:58.826000,754.31,26,24,0,100,2021-01-07 15:42:01.586000,4422804F,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Prefer not to say,No,Yes
5ff722fad9ba2e3484a0c160,59dccd61e75b450001a689b7,APPROVED,2021-01-07 15:04:26.543000,2021-01-07 15:18:08.551000,822.008,50,653,6,99,2021-01-07 15:42:05.666000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff722fc03510f355bb3bc4b,5f8f1a21b663851259803615,RETURNED,2021-01-07 15:04:27.944000,,86391.79421,62,164,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff722fca89e1b3454ed1017,5c0fdebfdfbb180001c32177,APPROVED,2021-01-07 15:04:28.570000,2021-01-07 15:23:16.570000,1128.0,48,582,8,98,2021-01-07 15:34:51.717000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No,Yes
5ff722fec0091e357137c1ff,5c72aec2aa7a7700018f25c8,APPROVED,2021-01-07 15:09:48.608000,2021-01-07 15:23:43.829000,835.221,59,663,0,100,2021-01-07 15:42:12.054000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5ff722ff2689e734a6eb514c,5f9bf1ffae5ff10008f77c8f,APPROVED,2021-01-07 15:04:30.975000,2021-01-07 15:35:43.649000,1872.674,66,42,0,100,2021-01-07 15:42:18.342000,4422804F,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Male,No,Yes
5ff722ff5a306334ebfc9d43,5b0c690b444cef0001ca5904,APPROVED,2021-01-07 15:04:31.316000,2021-01-07 15:22:48.346000,1097.03,50,453,3,100,2021-01-07 15:42:22.449000,4422804F,Canada,Canada,Full-Time,English,English,Canada,Female,No,Yes
5ff722ff63af7634f65508ae,5e6faa06b59a32573bcde7f1,APPROVED,2021-01-07 15:04:34.114000,2021-01-07 15:25:56.888000,1282.774,52,289,2,100,2021-01-07 15:42:27.944000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff723012e30bf3562685a41,5b87e13126d98700015ed667,APPROVED,2021-01-07 15:04:42.164000,2021-01-07 15:19:49.936000,907.772,53,405,6,97,2021-01-07 15:42:32.804000,4422804F,Canada,Canada,Full-Time,English,English,Canada,Female,No,Yes
5ff72302752c6b35c9942d45,5ee91ec5a99ee029a3bc0d51,APPROVED,2021-01-07 15:04:34.693000,2021-01-07 15:15:15.035000,640.342,33,133,2,100,2021-01-07 15:42:37.771000,4422804F,India,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff72308dd81f73126b7f2cf,598f2c4652127f0001319883,RETURNED,2021-01-07 15:04:50.481000,,86371.052148,58,504,15,94,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff723094721d533efb5134c,5f3ad1066e42ae76ba87cb2d,APPROVED,2021-01-07 15:04:41.220000,2021-01-07 15:22:36.954000,1075.734,28,63,1,100,2021-01-07 15:42:40.959000,4422804F,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff72309ca1cd933ca7b7b9b,5f7f07d317a72e01b1c57f27,APPROVED,2021-01-07 15:07:06.865000,2021-01-07 15:25:50.588000,1123.723,25,53,1,100,2021-01-07 15:42:45.279000,4422804F,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No,Yes
5ff7230f9fc0ec343606eff6,5f6cb8a85bd7ab0a429a3a66,APPROVED,2021-01-07 15:06:44.204000,2021-01-07 15:20:22.648000,818.444,30,91,0,100,2021-01-07 15:42:49.603000,4422804F,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Male,No,Yes
5ff723102ac13334f27810b6,5fb96bb1578cc18012b794ed,APPROVED,2021-01-07 15:04:48.787000,2021-01-07 15:17:57.283000,788.496,22,16,0,100,2021-01-07 15:42:53.858000,4422804F,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Male,Yes,Yes
5ff723133b6fbb34706f5f4c,5f57c35f2db7052c312229b5,REJECTED,2021-01-07 15:04:57.210000,2021-01-07 15:07:14.483000,137.273,57,102,3,97,2021-01-07 15:07:51.242000,16DF74BC,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
