,target,target_present,set_size,response,search_time,correct
212,Q,0,1,0,6,1
213,Q,0,1,0,4,1
214,Q,0,1,0,3,1
215,Q,0,1,0,2,1
216,Q,0,1,0,2,1
217,Q,0,1,0,5,1
218,Q,0,1,0,5,1
219,Q,0,1,0,2,1
220,Q,0,1,0,3,1
221,Q,0,1,0,3,1
222,Q,0,1,0,2,1
223,Q,0,1,0,2,1
224,Q,0,1,0,5,1
225,Q,0,1,0,6,1
226,Q,0,1,0,3,1
227,Q,0,1,0,2,1
228,Q,0,1,0,4,1
229,Q,0,1,0,4,1
230,Q,0,1,0,2,1
231,Q,0,1,0,2,1
232,Q,0,1,0,4,1
233,Q,0,1,0,5,1
234,Q,0,1,0,3,1
235,Q,0,1,0,3,1
236,Q,0,1,1,4,0
237,Q,0,1,0,3,1
238,Q,0,1,0,3,1
239,Q,0,1,0,3,1
240,Q,0,1,0,2,1
241,Q,0,1,0,4,1
242,Q,0,1,0,3,1
243,Q,0,1,0,2,1
244,Q,0,1,0,3,1
245,Q,0,1,0,3,1
246,Q,0,1,0,2,1
247,Q,0,1,0,3,1
248,Q,0,1,0,3,1
249,Q,0,1,0,2,1
250,Q,0,1,0,2,1
251,Q,0,1,0,4,1
252,Q,0,1,1,2,0
253,Q,0,1,0,2,1
254,Q,0,1,0,5,1
255,Q,0,1,1,2,0
256,Q,0,1,0,4,1
257,Q,0,1,0,3,1
258,Q,0,1,1,3,0
259,Q,0,1,0,6,1
260,Q,0,1,0,2,1
261,Q,0,1,0,3,1
262,Q,0,1,0,3,1
263,Q,0,1,0,2,1
264,Q,0,1,0,2,1
265,Q,0,1,0,5,1
266,Q,0,1,0,3,1
267,Q,0,1,0,2,1
268,Q,0,1,0,2,1
269,Q,0,1,0,2,1
270,Q,0,1,0,3,1
271,Q,0,1,0,6,1
272,Q,0,1,0,3,1
273,Q,0,1,0,3,1
274,Q,0,1,0,4,1
275,Q,0,1,0,2,1
276,Q,0,1,0,2,1
277,Q,0,1,0,2,1
278,Q,0,1,0,2,1
279,Q,0,1,0,2,1
280,Q,0,1,0,5,1
281,Q,0,1,0,2,1
282,Q,0,1,0,3,1
283,Q,0,1,0,6,1
284,Q,0,1,0,2,1
285,Q,0,1,0,2,1
286,Q,0,1,0,2,1
287,Q,0,1,0,3,1
288,Q,0,1,0,10,1
289,Q,0,1,0,3,1
290,Q,0,1,0,2,1
291,Q,0,1,0,2,1
292,Q,0,1,0,4,1
293,Q,0,1,0,6,1
294,Q,0,1,0,3,1
295,Q,0,1,0,4,1
296,Q,0,1,0,2,1
297,Q,0,1,0,3,1
298,Q,0,1,0,5,1
299,Q,0,1,0,2,1
300,Q,0,1,0,3,1
301,Q,0,1,0,2,1
302,Q,0,1,0,6,1
303,Q,0,1,0,2,1
304,Q,0,1,0,5,1
305,Q,0,1,1,2,0
306,Q,0,1,0,3,1
307,Q,0,1,0,2,1
308,Q,0,1,1,2,0
309,Q,0,1,0,2,1
310,Q,0,1,0,3,1
311,Q,0,1,0,4,1
312,Q,0,1,0,2,1
313,Q,0,1,0,3,1
314,Q,0,1,0,2,1
315,Q,0,1,0,3,1
316,Q,0,1,0,5,1
317,Q,0,1,0,3,1
318,Q,0,1,0,2,1
319,Q,0,1,0,5,1
320,Q,0,1,0,6,1
321,Q,0,1,0,4,1
322,Q,0,1,0,9,1
323,Q,0,1,0,2,1
324,Q,0,1,0,2,1
325,Q,0,1,0,2,1
326,Q,0,1,0,3,1
327,Q,0,1,0,2,1
328,Q,0,1,0,3,1
329,Q,0,1,0,2,1
330,Q,0,1,0,3,1
331,Q,0,1,1,2,0
332,Q,0,1,0,4,1
333,Q,0,1,0,3,1
334,Q,0,1,0,3,1
335,Q,0,1,0,3,1
336,Q,0,1,0,2,1
337,Q,0,1,0,3,1
338,Q,0,1,1,5,0
339,Q,0,1,0,2,1
340,Q,0,1,0,2,1
341,Q,0,1,0,4,1
342,Q,0,1,0,2,1
343,Q,0,1,0,3,1
344,Q,0,1,0,6,1
345,Q,0,1,0,4,1
346,Q,0,1,0,3,1
347,Q,0,1,0,2,1
348,Q,0,1,0,3,1
349,Q,0,1,0,5,1
350,Q,0,1,1,5,0
351,Q,0,1,1,3,0
352,Q,0,1,0,3,1
353,Q,0,1,0,4,1
354,Q,0,1,0,2,1
355,Q,0,1,0,4,1
356,Q,0,1,0,3,1
357,Q,0,1,1,2,0
358,Q,0,1,0,3,1
359,Q,0,1,0,4,1
360,Q,0,1,0,2,1
361,Q,0,1,0,3,1
362,Q,0,1,0,3,1
363,Q,0,1,0,6,1
364,Q,0,1,0,7,1
365,Q,0,1,0,6,1
366,Q,0,1,0,3,1
367,Q,0,1,0,5,1
368,Q,0,1,0,2,1
369,Q,0,1,0,3,1
370,Q,0,1,0,2,1
371,Q,0,1,0,3,1
372,Q,0,1,0,2,1
373,Q,0,1,0,4,1
374,Q,0,1,0,6,1
375,Q,0,1,0,2,1
376,Q,0,1,0,3,1
377,Q,0,1,0,2,1
378,Q,0,1,0,2,1
379,Q,0,1,0,2,1
380,Q,0,1,0,2,1
381,Q,0,1,0,4,1
382,Q,0,1,0,2,1
383,Q,0,1,0,2,1
384,Q,0,1,0,3,1
385,Q,0,1,0,2,1
386,Q,0,1,1,3,0
387,Q,0,1,0,2,1
388,Q,0,1,0,2,1
389,Q,0,1,0,4,1
390,Q,0,1,0,2,1
391,Q,0,1,0,2,1
392,Q,0,1,0,6,1
393,Q,0,1,0,4,1
394,Q,0,1,0,4,1
395,Q,0,1,0,3,1
396,Q,0,1,0,3,1
397,Q,0,1,0,3,1
398,Q,0,1,0,2,1
399,Q,0,1,0,4,1
400,Q,0,1,0,2,1
401,Q,0,1,0,4,1
402,Q,0,1,0,3,1
403,Q,0,1,0,2,1
404,Q,0,1,0,9,1
405,Q,0,1,0,5,1
406,Q,0,1,0,2,1
407,Q,0,1,0,6,1
408,Q,0,1,0,2,1
409,Q,0,1,0,3,1
410,Q,0,1,0,3,1
411,Q,0,1,0,4,1
412,Q,0,1,0,2,1
413,Q,0,1,0,3,1
414,Q,0,1,0,2,1
415,Q,0,1,1,4,0
416,Q,0,1,0,3,1
417,Q,0,1,0,3,1
418,Q,0,1,0,2,1
419,Q,0,1,0,2,1
420,Q,0,1,0,2,1
421,Q,0,1,0,3,1
422,Q,0,1,0,3,1
423,Q,0,1,0,4,1
424,Q,0,1,1,3,0
425,Q,0,1,0,3,1
426,Q,0,1,0,3,1
427,Q,0,1,0,4,1
428,Q,0,1,0,3,1
429,Q,0,1,0,2,1
